prompt_id,date_iso,author_or_operator,purpose,input_summary,output_summary,human_review_status,linked_files,linked_commit,notes
PR-0001,,,,,,,,,
PR-0002,2026-05-18,Daniel Ramírez Martínez + Codex,Phase 1 sketch interpretation,"Confirmed six vial positions, opposite pairing logic, vial geometry, and near-edge placement intent","Derived first-pass six-position layout and identified unresolved geometric assumptions",reviewed_pending_measurement,"docs/PHASE_1_GEOMETRY_SHEET_V0_1.md;docs/PHASE_1_GEOMETRY_EXTRACTION_MATRIX.md;openscad/uvvis_carousel_adapter_starter.scad",,Exploratory proposal only; no validated tolerances or compatibility claims
PR-0003,2026-05-18,Daniel Ramírez Martínez + Codex,Phase 1 measured refinement,"Confirmed caliper-based dimensions, special slot alignment with position 3, request for recessed labels, ghost vials, and an intermediate mechanism test model","Added measured-notes record, mechanism-test OpenSCAD file, screw-hole subtraction, ghost vial preview, and recessed position labels",reviewed_pending_print_test,"docs/PHASE_1_MEASURED_NOTES_V0_2.md;openscad/uvvis_carousel_mechanism_test_v0_1.scad;openscad/uvvis_carousel_adapter_starter.scad",,Exploratory only; print response not yet validated
PR-0004,2026-05-18,Daniel Ramirez Martinez + Codex,Phase 1 holder seating refinement,"Asked why vial entry space was not visible in v0_4 render and requested an internal recess/notch for vial seating without affecting light-window height","Created v0_5 seating-recess CAD branch with internal seating step, top lead-in, optical-window compensation, and documentation note",reviewed_pending_render,"docs/PHASE_1_SEATING_RECESS_NOTE_V0_5.md;openscad/uvvis_carousel_adapter_v0_5_seating_recess.scad",,Exploratory only; seating dimensions are not validated tolerances
PR-0005,2026-05-18,Daniel Ramirez Martinez + Codex,Phase 1 vial clearance tester,"Requested next version with paired labels and different bore dimensions from 16.2 to 16.8 mm for print testing","Created v0_6 clearance test CAD branch with labeled paired positions and per-position bore diameters",reviewed_pending_print_test,"docs/PHASE_1_VIAL_CLEARANCE_TEST_NOTE_V0_6.md;openscad/uvvis_carousel_adapter_v0_6_vial_clearance_test.scad",,Exploratory only; selected fit diameter pending print test
PR-0006,2026-05-18,Daniel Ramirez Martinez + Codex,Phase 1 clearance wall and label correction,"Requested next version correcting holder wall thickness for largest test bore and moving labels away from cubetilla geometry","Created v0_7 clearance wall and label placement fix with preview-control documentation",reviewed_pending_render,"docs/PHASE_1_CLEARANCE_WALL_LABEL_FIX_NOTE_V0_7.md;openscad/uvvis_carousel_adapter_v0_7_clearance_wall_label_fix.scad",,Exploratory only; pending render and print review
PR-0007,2026-05-19,Daniel Ramirez Martinez + Codex,Phase 1 lower indexing base V0,"Confirmed 16.4 mm preferred vial clearance and requested independent lower indexing/mounting base with concentric rings, six slots, HOME marker, and debug mode","Created standalone indexing_base.scad and Phase 1 indexing-base V0 documentation without modifying upper carousel module",reviewed_pending_print_test,"docs/PHASE_1_INDEXING_BASE_V0_NOTE.md;openscad/indexing_base.scad",,Exploratory lower indexing template only; no compatibility claim
PR-0008,2026-05-19,Daniel Ramirez Martinez + Codex,Phase 1 indexing base v0.2 refinement,"Clarified paired position relationship, large slot under position 3, small slot width 2.09 mm, large slot width 5.91 mm, differentiated lamina/ring thicknesses, and raised labels","Created indexing_base_v0_2_slot_lamina_labels.scad with complete rectangular lamina slot cuts and raised position labels",reviewed_pending_render,"docs/PHASE_1_INDEXING_BASE_V0_2_NOTE.md;openscad/indexing_base_v0_2_slot_lamina_labels.scad",,Exploratory lower indexing geometry only; no compatibility claim
PR-0009,2026-05-19,Daniel Ramirez Martinez + Codex,Phase 1 indexing base print-ready cleanup,"Confirmed v0.2 base geometry looks good and requested removal of floating labels/debug circles for printing","Created indexing_base_v0_3_print_ready.scad with debug and position labels disabled",reviewed_pending_print_test,"docs/PHASE_1_INDEXING_BASE_V0_3_PRINT_READY_NOTE.md;openscad/indexing_base_v0_3_print_ready.scad",,Exploratory print-test geometry only
PR-0010,2026-05-20,Daniel Ramirez Martinez + Codex,Phase 1 indexing base post-print fit correction,"Reported first printed base was 2-3 mm undersized against upper/positioning system and central underside needs 7 mm by 16-17 mm lower opening while upper screw opening remains acceptable","Created indexing_base_v0_4_post_print_fit_adjustment.scad with diameter offset and lower oblong central clearance",reviewed_pending_render,"docs/PHASE_1_INDEXING_BASE_V0_4_POST_PRINT_NOTE.md;openscad/indexing_base_v0_4_post_print_fit_adjustment.scad",,Exploratory post-print correction only; pending fit test
